,sg_value,integer
"(4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(8, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(11, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(6, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(5, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(10, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(8, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(13, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,27
"(6, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(4, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(7, 5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(12, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(7, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(11, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(5, 5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(10, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(9, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(15, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(4, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(10, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(8, 6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(7, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(14, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(9, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(8, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(7, 6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,27
"(13, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(12, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(11, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(10, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(9, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",8,27
"(7, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(10, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(4, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(6, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(12, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(4, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(7, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(11, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(5, 5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(10, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(9, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 7, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(14, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(6, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,27
"(5, 5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(10, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(9, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(8, 5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(7, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(13, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(4, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(12, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(11, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(10, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(9, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(8, 8, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(16, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(9, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(4, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(7, 5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",8,27
"(6, 6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(12, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(11, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 5, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(10, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(9, 6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(8, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(15, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(5, 5, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(10, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(9, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(14, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(13, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(12, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(11, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(10, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(9, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(18, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",8,27
"(4, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(8, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(6, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",9,27
"(5, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(10, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(9, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(13, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(6, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(5, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(9, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(7, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(6, 6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",7,27
"(12, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(6, 5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(11, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(5, 5, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(10, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(9, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 7, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(15, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(8, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(10, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(9, 5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(8, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(7, 7, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(14, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(5, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(8, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(7, 6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 6, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(12, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(10, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(9, 8, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(17, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(4, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(5, 5, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(10, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(5, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(9, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(13, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(4, 4, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 6, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(12, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 5, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(10, 6, 3, 1, 1, 1, 1, 1, 1, 1, 1)",6,27
"(9, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(8, 8, 3, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(16, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(6, 5, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(5, 5, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(10, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(9, 6, 4, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 7, 4, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(15, 4, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(9, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(8, 6, 5, 1, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 7, 5, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(14, 5, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(7, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1)",5,27
"(13, 6, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(12, 7, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(11, 8, 1, 1, 1, 1, 1, 1, 1, 1)",4,27
"(10, 9, 1, 1, 1, 1, 1, 1, 1, 1)",3,27
"(19, 1, 1, 1, 1, 1, 1, 1, 1)",1,27
"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",6,27
"(7, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(6, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(5, 5, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(10, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(6, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",5,27
"(5, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(9, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(7, 5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(6, 6, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(12, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(4, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(7, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",9,27
"(11, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(6, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(5, 5, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",6,27
"(10, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(9, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(8, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(7, 7, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(14, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(4, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",6,27
"(7, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(6, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(5, 5, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(10, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,27
"(5, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(9, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(8, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,27
"(7, 6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",6,27
"(13, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(4, 4, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(8, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",8,27
"(7, 5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",8,27
"(6, 6, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(12, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",5,27
"(6, 5, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(11, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(10, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
"(9, 7, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(8, 8, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,27
"(16, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,27
"(3, 3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",1,27
"(6, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",2,27
"(5, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",8,27
"(9, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",3,27
